address,title,alt title,first appearance month,first description,latest apperance month,latest description,permit category,permitted units,max density,parcel size,site status,identified in last 2 cycles
"1885 Miramonte Ave, Mountain View, CA 94040",1885 Miramonte,St. Francis High School,2019-8,"Request for a Conditional Use Permit to increase the number of students at an existing private high school, Saint Francis High School, a Development Review Permit to allow two new buildings (Center for Innovation and Dining Commons) totaling 94,000 square feet to replace two existing buildings (Buildings 100 and 300) totaling approximately 42,000 square feet on an existing campus, and a Heritage Tree Removal Permit to remove 12 Heritage Tre es on a 29.7-acre project site. This project is located on the east side of Miramonte Avenue between South Drive and Cuesta Drive, located in the R1-7.5 (Single- Family) district. Status/Next Step(s): Under review. Planning Area: Miramonte/Springer Project Planner: Clarissa Burke Applicant: St. Francis High School",2023-2,"On June 22, 2022, the Zoning Administrator approved a modification to a previously approved Conditional Use Permit, Planned Unit Development Permit, and Development Review Permit (PL- 2017-346) to add 12,800 square feet of administrative space to Building 1 00, totaling approximately 56,165 square feet, and Heritage Tree Removal Permit to remove 1 Heritage tree on a 25-acre project site. This project is located on the east side of Miramonte Avenue between Cuesta Drive and Covington Drive in the R1-7.5 (Single-Family Residential) district.",no permit,0,,,,
"189 N Bernardo Ave, Mountain View, CA 94043",189 North Bernardo Avenue,,2019-6,"Request for a Planned Community Permit, a Development Review Permit, and Los Altos School District (LASD) Transfer of Develo pment Rights for a new 4-story, 86,160 square foot office building and 4-story parking structur e on a site with an existing 2-story, 58,400 square foot office building to remain on a 3.83- acre project site. This project is located on the southeast corner of North Bernardo Av enue and Central Expressway in the ML (Limited Industrial) district.",2023-2,"Request for a Planned Community Permit and Development Review Permit to construct a new 4- story, 80,000 s quare foot office building, a new parking structure with 4 levels of above-grade parking LONG-RANGE /POLICY PROJECTS",no permit,0,,,,
"1919 Gamel Way, Mountain View, CA 94040",1919 - 1933 Gamel Way and 574 Escuela  Avenue,,2018-9,"Request for a Planned Unit Development Permit and Development Review Permit for a 53 unit condominium development with underground parking, and a Heritage Tree Removal Permit to remove seven Heritage trees on a 1.17 acre project site. This project is located on the southwest corner of Gamel Way and Escuela Avenue in the R3-1 (Multiple-Family Residential) district.",2023-2,"On September 26, 2021, City Council approved a Planned Unit Development Permit and Development Review Permit to allow a 4-story, 121-unit condominium building with a State Density Bonus with development waivers and one level of underground parking to replace 29 apartment units located in existing multi-family residential buildings; a Heritage Tree Removal Permit to remove 10 Heritage trees on a 2.3-acre project site; and a Tentative Map to create 121 condominium units and one common lot. Th e project is located on the southwest corner of Gamel Way and Escuela Avenue in the R3-1 (Multiple-Family Residential) district.",no permit,0,,,,
"194 Castro St, Mountain View, CA 94041",194-198 Castro Street,,2022-12,"Request for a Provisional Use Permit to allow an administrative office use on the upper floors of a commercial building, and a Planned Community Permit, Development Review Permit, and Historic Preservation Permit to construct a 3-story, 6,086 square foot building addition with a roofdeck to an existing two-story, 7,608 square foot historic building with office and ground-floor restaurant, replacing an existing outdoor patio, on a 0.14-acre site. This project is located on the northwest corner of Castro Street and Villa Street in the P-19 (Downtown) Precise Plan.",2023-2,"Request for a Provisional Use Permit to allow an administrative office use on the upper floors of a commercial building, and a Planned Community Permit, Development Review Permit, and Historic Preservation Permit to construct a 3-story, 6,086 square foot b uilding addition with a roofdeck to an existing two-story, 7,608 square foot historic building with office and ground-floor restaurant, replacing an existing outdoor patio, on a 0.14-acre site. This project is located on the northwest corner of Castro Stre et and Villa Street in the P-19 (Downtown) Precise Plan.",no permit,0,,,,
"1946 San Luis Ave, Mountain View, CA 94043",1946 San Luis Ave.,Classic C ommunities ,2013-10,"In September 2013, C lassic Communities applied for a 28 unit rowhouse project on a 1.6 acre site. A final Council hearing is anticipated by the summer of 2014. (Melinda Denis)",2016-8,"In May, 2014 the City Council approved a request by Classic Communities for a 28 unit rowhouse project on a 1.6 acre site. The properties included a total of 25 existing units.",SF,3,,,,
"1950 Montecito Ave, Mountain View, CA 94043",1950 Montecito Avenue,,2018-9,Request for a Planned Unit Development Permit and Development Review Permit for a 33- unit rowhouse development and a Heritage Tree Removal P ermit to remove 26 Heritage trees on a 1.85 acre project site. This project is located on the north side of Montecito Avenue between North Rengstorff Avenue and Sierra Vista Avenue in the R3-2.2 (Multiple-Family Residential) district.,2022-4,"On March 26, 2019, City Council approved a Planned Unit Development Permit and Development Review Permit for a 33-unit rowhouse development and a Heritage Tree Removal Permit to remove 22 Heritage trees on a 1.85-acre project site. This project is located on the north side of Montecito Avenue between North Rengstorff Avenue and Sierra Vista Avenue in the R3-2.2 (Multiple-Family Residential) district.",Single-Family Attached Unit,0,,,,
"1951 Colony St, Mountain View, CA 94043",1951 Colony Street,William Lyon Homes  ,2013-5,"In October 2011, Council authorized a Gatekeeper request by City Ventures to study a rezon ing of industrial MM land to R3-2 to allow 33 rowhouses, but delayed commencement of the review until after adoption of the 2030 General Plan in July 2012. The environmental analysis is underway. Council review is anticipated in fall 2013. ",2016-3,"In November 2013, the City Council approved a General Plan Amendment from General Industrial to Medium Density Residential (13 to 25 units per acre), a Zoning Map Amendment from the General Industrial (MM-40) district to the Multiple- Family Residential (R3-2) district, a Planned Unit Development Permit for a 33 unit rowhouse project, and a Heritage Tree Removal Per mit to allow the removal of 11 heritage Trees on a 1.83 acre project s ite, located on the southeast corner of Sierra Vista Avenue and Colony Street. anticipated to be completed in 2016.",SF,32,,,,
"1958 Latham St, Mountain View, CA 94040",1958 Latham Street ,,2014-12,"In November 2014, an informal appli cation was submitted for a new three story, 6- unit project on a 0.39-acre site. Status/Next Step(s): Under review. Planning Area: San Antonio Project Planner: Margaret Netto Central Neighborhood Planning Area",2023-2,"On December 10, 2019, City Council approved a Planned Unit Development Permit and Development Review Permit for a new 6-unit rowhouse development on a vacant 0.39-acre project site; and a Tentative Map to create 6 residential lots and one common lot. The project is located on the north DEVELOPMENT PROJECTS UNDER REVIEW side of Latham Street between Escuela and Rengstorff Avenues in the R3-1 (Multiple-Family Residential) district.",Single-Family Attached Unit,0,,,,
"1958 Rock St, Mountain View, CA 94043",1958 Rock Street,Dividend Homes ,2013-5,"In September 2012, Dividend Homes applied for a 19 unit rowhouse project on a 1.13 acre site that is currently developed with 12 rental units. The project is tentatively scheduled for Council review in June 2013. (Scott Plambaeck) Moffett/ Whisman Planning Area",2016-3,"In June 2013, the City Council approved a r equest for a Planned Unit Development to allow 19 rowhomes, replacing 12 apartment units, and a Heritage Tree Removal Permit for the removal of 5 Heritage trees, on a 1.13-acre project site, located between Sierra Vista Avenue and North Rengstorff Avenue. completion is expected by November 2015.",no permit,0,,,,
"1968 Hackett Ave, Mountain View, CA 94043",1968 Hackett Avenue & 208 -210 Sierra Vista Avenue,,2015-1,"In December 2014, Dividend Homes submitted a formal application to construction a 24-unit rowhouse project to replace 21 existing apartment units and a request to remove 8 Heritage trees on a 1.60 acre project site. Status/Next Step (s): Under review. Planning Area: Monta Loma/Farley/Rock Project Planner: Rebecca Shapiro Moffett/Whisman Planning Area",2018-7,"On July 7, 2015 the City Council approved a Planned Unit Development, Development Review Permit, and Tentative Map for a new 24-unit rowhouse development to replace 21 existing apartment units on a 1.60 acre project site. The project is located on the northeast corner of Sierra Vista Street and Hackett Avenue in the R3-2.2 (Multiple-Family Residential) district.",Single-Family Attached Unit,0,,,,
"198 Easy St, Mountain View, CA 94043",198 Easy Street,,2019-4,Request for a Planned Unit Development and Development Review Permit for a five-unit rowhouse development to replace one single-family home and a Heritage Tree Remov al Permit to remove 9 Heritage t rees on a 0.51 acre project site. This project is located o n the west side of Easy Street adjacent to the Highway 85 on-ramp in the R3-3sd (Multiple- Family Residential- Special Design) district.,2023-2,"On May 11, 2021, City Council approved a Planned Unit Development and Development Review Permit for a 5-unit rowhouse development to replace one single-family home, a Heritage Tree Removal Permit to remove 10 Heritage trees; and a Tentative Map to create 5 residential lots and a common lot on a 0.51-acre project site. This project is located on the west side of Easy Street adjacent to the Highway 85 on-ramp in the R3-3sd (Multiple-Family Residential-Special Design) district.",Single-Family Attached Unit,0,,,,
"1984 W El Camino Real, Mountain View, CA 94040",1984 El Camino Real Wes t,UDR ,2013-5,"In March 2012, Council authorized a Gatekeeper request by UDR for a mixed use, high-density apartment proposal. The project includes a public pedestrian connection between Latham Avenue and El Camino Real. An EIR is being prepared for the project. E PC and Council review is expected in fall 2013. (Central Neighborhoods Planning Area) ",2017-4,"In November 2013, the City Council approved a 160-unit apartment project with 4,000 square feet of ground floor retail space, and a Heritage Tree Removal Permit to remove 10 Heritage trees, to replace the Pacific Inn Motel on a 2.85-acre site, located on the north side of El Camino Real between Escuela Avenue and Rengstorff Avenue. to be completed in April/May 2017.",5 or More Units Per Structure,155,,,,
"1987 Leghorn St, Mountain View, CA 94043",1987 Leghorn St .,Morelan Associates ,2013-11,"In October 2013, the Zoning Administrator approved a one-story 10,800 square-foot office building on a 0.79 acre site. Construction began in November 2013. (Eric Anderson)",2014-11,"In March 2013, the Zoning Administrator approved a new 10,800 square foot office building on a 0.79 acre lot, replacing a small commercial building. Status/Next Step(s): Approved. Construction is expected to be completed in early 2015. Planning Area: Monta Loma/Farley/Rock Planning Area Project Plan ner: Eric Anderson",no permit,0,,,,
"1991 Sun-Mor Ave, Mountain View, CA 94040",1991 Sun Mor Avenue,Adachi Project ,2013-5,"In 2005, t he Adachi family submitted an informal application for a 13 unit R1 single-family subdivision with a formal application following in 2007. Neighborhood input from 2012 was received about whether access to the new subdivision should be from Martens Avenue or Sun Mor Avenue. The applicant resubmitted a n incomplete application in February 2013 for staff review and the CEQA analysis is under way. A Council date cannot be projected until the applicant submit s a complete application. ",2018-5,"On April 19, 2016 the City Council approved a Planned Unit Development P ermit and a Development Review Permit to allow development of 11 single family homes, a Heritage Tree Removal Permit to remove 27 Heritage trees, and a Tentative Map to subdivide the 5-acre lot into 12 lots. The project is located at the north terminus of Sun Mor Avenue in the R1-10 (Single-Family Residential) district.",Single-Family Detached Unit,0,,,,
"1998 Montecito Ave, Mountain View, CA 94043",1998- 2024 Montecito Ave.,,2014-3,"In December 2013, informal plans for a new 18 unit condominium project on 0.93 acre site were submitted. Final Council action is anticipated in 2015. (Scott Plambaeck) Moffett/Whisman Planning Area",2022-12,"On May 26, 2015, City Council approved a Planned Unit Development Permit and Development Review Permit with a State Density Bonus with development waivers to construct a 3-story, 17-unit condominium development with underground parking, replac ing three apartments and a single- family home, and a Heritage Tree Removal Permit to remove 11 Heritage trees on 0.93-acre project site. The project site is located on the north side of Montecito Avenue between Rengstorff Avenue and Sierra Vista Avenue in the R3-2.2 (Multiple-Family Residential) district.",no permit,0,,,,
"2000 N Shoreline Blvd, Mountain View, CA 94043",2000 North Shoreline Boulevard, Charleston East ,2013-5,"In March 2011, the City Council approved an amendment to the North Bayshore Precise Plan area to allow up to 595,000 sq. ft. of office/R&D building area on the site. Google entered into a lease with the City to develop and occupy the property. Google has stated they will defer this project until the North Bayshore Precise Plan is completed. (North Bayshore Planning Area) ",2022-12,"On March 8, 2017, City Council approved a Planned Community Permit and Development Review Permit for a two-story, 595,000 square foot office building and a Heritage Tree Removal Permit to remove 196 Heritage trees on a vacant 18.6-acre project site. The project is located on the northwest corner of Charleston Road and North Shoreline Boulevard in the P-39 (North Bayshore) Precise Plan.",no permit,0,,,,
"2005 Rock St, Mountain View, CA 94043",2005 Rock Street,,2018-7,"Request for a Planned Unit Development Permit, Development Review Permit, and Tentative Map for a new residential development including eight rowhouse units and seven townhome units, and Heritage Tree Removal Permit to remove seven Heritage Trees on a 1.1-acre project site. The project is located on the south side of Rock Street between North Rengstorff Avenue and Sierra Vista Avenue in the R3-2.2 (Multiple-Family Residential) district.",2022-2,"On December 12, 2018, City Council approved a Planned Unit Development and Development Review Permit to construct eight rowhouse units and seven townhome units",no permit,0,,,,
"2010 San Ramon Ave, Mountain View, CA 94043",2010 San Ramon Avenue,,2018-9,Request for a Planned Unit Development and Development Review Permit for a seven-unit condominium development and a Heritage Tree Removal Per mit to remove one Heritage Tree on a 0.52-acre project site. This project is located on the north side of San Ramon Avenue between North Rengstorff Avenue and Sierra Vista Avenue in the R3-2.2 (Multiple-Family Residential) d istrict. Approved Development Projects,2019-4,Request for a Planned Unit Development and Development Review Permit for a seven-unit condominium development and a Heritage Tree Removal Per mit to remove one Heritage Tree on a 0.52- acre project site. This project is located on the north side of San Ramon Avenue between North Rengstorff Avenue and Sierra Vista Avenue in the R3-2.2 (Multiple-Family Residential) d istrict. • Applicant: Bill Maston Architect & Associates,no permit,0,,,,
"2019 Leghorn St, Mountain View, CA 94043",2019 Leghorn Street,,2017-2,"Request for a Development Review Permit and a Conditional Use Permit to construct a new two-story, 12,050 square-foot office building and demolish five existing residential units and associated accessory structures, on an 0.86-acre site.",2023-2,"On June 24, 2020, the Zoning Administrator approved a one-year Permit Extension for a Conditional Use Permit for a research & development use, a Development Review Permit to construct a new two-story, 12,050 square-foot office building to replace five existing residential units and associated accessory structures, and a Heritage Tree Remo val Permit to remove two Heritage trees on a 0.86- acre project site. The project is located on the south side of Leghorn Street between North Rengstorff Avenue and Sierra Vista Avenue in the MM-40 (General Industrial) district.",no permit,0,,,,
"2025 San Luis Ave, Mountain View, CA 94043",2025 and 2065 San Luis Avenue,,2018-9,"On April 5, 2016 the City Council approved a Planned Unit Development Permit, Development Review Permit, and Tentative Map for a new 33-unit rowhouse development on a vacant 0.93-acre project site. The project was initially submitted in October 2014 for a nine-unit devel opment on a vacant lot at 2065 San Luis Avenue. The Developer acquired the adjacent 17-unit apartment complex site at 2025 San Luis Avenue and submitted revised plans in August 2015 for an expanded project on both properties.",2019-8,"On April 5, 2016, the City Council approved a Planned Unit Development and Development Review Permit for a new 33-unit rowhouse development on a vacant 0.93- acre project site. The project was initially submitted in October 2014 for a nine-unit development on a vacant lot at 2065 San Luis Avenue. The Developer acquired the adjacent 17-unit apartment complex site at 2025 San Luis Avenue and submitted revised plans in August 2015 for an expanded project o n both properties.","2-, 3-, and 4-Plex Units per Structure",1,,,,
"2040 Mondigo Ave, San Jose, CA 95122",2044 and 2054 Montec ito Avenue,,2017-6,"Planned Unit Development, Development Review Permit, and Tentative Map for a 52-unit rowhouse development and a Tree Removal Permit to remove 37 Heritage trees on a 2.8 acre project site. Th e project is located on the north side of Montecito Avenue between Central Expressway and San Luis Avenue in the R3-2.2 (Multiple- Family Residential) district.",2018-7,"On November 7, 2017 the City Council approved a Planned Unit Development, Development Review Permit, and Tentative Map for a 52-unit rowhouse development and a Tree Removal Permit to remove 35 Heritage trees on a 2.8 acre project site. Th e project is located on the north side of Montecito Avenue between Central Expressway and San Luis Avenue in the R3-2.2 (Multiple-Family Residential) district.",no permit,0,,,,
"2044 Montecito Ave, Mountain View, CA 94043",2044 and 2054 Montecito Ave nue ,,2017-2,"Request for a Planned Unit Development and Developmen t Review Permit to replace a 52-unit apartme nt complex with a 52-unit rowhouse project, and a Heritage Tree Removal Permit to remove 41 Heritage trees on a 2.78 acre site located on the north side of Montecito Av enue between Sierra Vista Ave nue and North Rengstorff Ave nue in the R3-2.2 (Multiple-Family Residential) district.",2022-2,"On November 7, 2017, City Council approved a Planned Unit Development, Development Review Permit, and Tentative Map for a 52-unit rowhouse development and a Heritage Tree Removal Permit to remove 35 Heritage trees on a 2.8-acre project site. The project is located on the north side of Montecito Avenue between Central Expressway and San Luis Avenue in the R3-2.2 (Multip le-Family Residential) district.",no permit,0,,,,
"2060 Plymouth St, Mountain View, CA 94043",2060 Plymouth Avenue,Classic Communities  ,2013-5,"In April 2012, Council approved a 14 unit rowhouse development for Classic Communities on a 0.8 acre parcel. Construction started in April 2013 ",2014-4,"In April 2012, Council approved a 14 unit rowhouse development for Classic Communities on a 0.8 acre parcel. Construction started in April 2013 and is expected to be completed by May 2014. ",no permit,0,,,,
"2065 San Luis Ave, Mountain View, CA 94043",2065 San Luis Avenue,California Communities/Peninsula Communities  ,2015-3,"Request for a Planned Unit Development Permit, Development Review Permit, and Tentative Tract Map for a new nine-unit rowhouse development on a vacant 0.93- acre site. Status/Next Steps: Under review. Planning Area: Monta Loma/Farley/Rock Project Planner: Nancy Minicucci Applicant: San Luis Ave, LP Moffett/Whisman Planning Area",2015-8,"Request for a Planned Unit Development Permit, Development Review Permit, and Tentative Tract Map for a new nine-unit rowhouse development on a vacant 0.93- acre site. Status/Next Steps: Incomplete; awaiting revisions. Planning Area: Monta Loma/Farley/Rock Project Planner: Mariya Hodge Applicant: Californ ia Communities/Peninsula Communities Moffett/Whisman Planning Area","2-, 3-, and 4-Plex Units per Structure",1,,,,
"209 W Evelyn Ave, Mountain View, CA 94041",209 -  405 West Evelyn Avenue,Classics / Station 361 ,2013-5,"In December 2010, Council approved 65 rowhouse units. Phase 1 (29 units) is completed and fully occupied. Building permits for Phase 2 (36 units) were issued in March 2013 and construction is underway. Completion is expected by spring 2014. ",2014-8,"In December 2010, the City Council approved 65 rowhouse units on a 3.72 acre site. Status/Nex t Step(s): Approved. Phase 1 (29 units) is completed and fully occupied. Building permits for Phase 2 (36 units) were issued in March 2013 and is expected to be completed in summer 2014. Planning Area: Central Neighborhoods Project Planner: Stephanie Williams",no permit,0,,,,
"2110 Old Middlefield Way, Mountain View, CA 94043",2110 Old Middlefield Way,,2022-2,"Request for a Conditional Use Permit and Development Review Permit to construct a new gas station with 6 fueling stations, a drive-through car wash, and a 547 square foot convenience store on a vacant 0.33-acre project site. This project is located on the northwest corner of Old Middlefield Way and North Rengstorff Avenue in the CS (Commercial- Service) district.",2023-2,"Request for a Conditional Use Permit and Development Review Permit to construct a new gas station with 6 fueling stations, a drive-through car wash, and a 547 square foot convenience store on a vacant 0.33-acre project site. This project is located on the northwest corner of Old Middlefield Way and North Rengstorff Avenue in the CS (Commercial-Service) district.",no permit,0,,,,
"2246 W El Camino Real, Mountain View, CA 94040",2246 El Camino Real W.,Mountain View Montessori ,2013-12,"In July 2012, the Zoning Administrator approved a site and façade improvements and a 1,300 square foot addition to an existing commercial building for a childcare center. Construc tion started in summer 2013 and will be complete January 2014. (Central Neighborhoods Planning Area) ",2014-4,"In July 2012, the Zoning Administrator approved a site and façade improvements and a 1,300 square foot addition to an existing commercial building for a childcare center. Construction started in summer 2013 and will be complete April 2014. (Central Neighborhoods Planning Area) ",no permit,0,,,,
"2268 Louis Rd, Palo Alto, CA 94303",2268 W. E l Camino Real,Lennar Multi Family Communities ,2016-3,"In June, the applicant applied for a Planned Community Permit and Development Review Permit for a new 3 to 4 story, 204-unit residential apartment project with underground parking on a 2.6 acre site replacing the 21,026 square foot Olive Tre e Shopping Center and 4 single-story commercial structures along El Camino Real and Latham Street. This property is located on the north side of West El Camino Real and the south side Latham Street between Ortega Avenue and South Rengstorff Avenue in the P-38 (El Camino Real) Precise Plan.",2016-3,"In June, the applicant applied for a Planned Community Permit and Development Review Permit for a new 3 to 4 story, 204-unit residential apartment project with underground parking on a 2.6 acre site replacing the 21,026 square foot Olive Tre e Shopping Center and 4 single-story commercial structures along El Camino Real and Latham Street. This property is located on the north side of West El Camino Real and the south side Latham Street between Ortega Avenue and South Rengstorff Avenue in the P-38 (El Camino Real) Precise Plan.",no permit,0,,,,
"2268 W El Camino Real, Mountain View, CA 94040",2268 West  El Camino R eal,,2019-4,"On February 28, 2017 the City Council approved a Planned Community Permit and Development Review Permit for a new 3 to 4 story, 204-unit residential apartment project with underground parking and 4 single-story commercial structures along El Camino Real and Latham Street to replace the 21,026 square foot Olive Tree Shopping Center on a 2.6 acre project site. The project is located on the north side of West El Camino Real and the south side Lath am Street between Ortega Avenue and South Rengstorff Avenue in the P-38 (El Camino Real) Precise Plan.",2019-10,"On February 28, 2017, the City Council approved a Planned Community Permit and Development Review Permit for a new 3 to 4 story, 204-unit residential apartment project with underground parking and 4 single-story commercial structures along El Camino Real and Latham Street to replace the 21,026 square foot Olive Tree Shopping Center on a 2.6- acre project site. The project is located on the north side of West El Camino Real and the south side Lath am Street between Ortega Avenue and South Rengstorff Avenue in the P-38 (El Camino Real) Precise Plan.",no permit,0,,,,
"2280 W El Camino Real, Mountain View, CA 94040",2268 W. El Camino Real,,2015-8,"In June, the applicant applied for a Planned Community Permit and Development Review Permit for a n ew 3 to 4 story, 204-unit residential apartment project with underground parking on a 2.6 acre site replacing the 21,026 square foot Olive Tree Shopping Center and 4 single-story commercial structures along El Camino Real and Latham Street. This property i s located on the north side of West El Camino Real and the south side Latham Street between Ortega Avenue and South Rengstorff Avenue in the P-38 (El Camino Real) Precise Plan. Status / Next Step(s): Awaiting revisions. Project Planner: Nancy Minicucci Applicant: Lennar",2019-2,"On February 28, 2017 the City Council approved a Planned Community Permit and Development Review Permit for a new 3 to 4 story, 204-unit residential apartment project with underground parking and 4 single-story commercial structures along El Camino Real and Latham Street to replace the 21,026 square foot Olive Tree Shopping Center on a 2.6 acre project site. The project is located on the north side of West El Camino Real and the south side Latham Street between Ortega Avenue and South Rengstorff Avenue in the P-38 (El Camino Real) Precise Plan.",5 or More Units Per Structure,201,,,,
"2296 Mora Dr, Mountain View, CA 94040",2296 Mora Drive,,2016-3,"Request for a Planned Community Permit, Planned Unit Development and Heritage Tree Removal permit to demolish 15 existing industrial buildings on 17 lots in order to construct 75 attached rowhomes, and a 0.45-acre public park on a 5.13 acre total project s ite. The project is located on the east side of Ortega Avenue between California Street and the terminus of Ortega Avenue. February 2016 and are currently under review.",2019-10,"On February 2, 2016, the City Council approved a Planned Community Permit, Planned Unit Development and Heritage Tree Removal permit to construct 75 attached rowhomes and a 0.45-acre public park to replace 15 existing industrial buildings on 17 lots on a 5.13- acre project si te. The project is located on the east side of Ortega Avenue between California Street and the terminus of Ortega Avenue in the P-31 (Mora-Ortega) Precise Plan.",Single-Family Attached Unit,50,,,,
"2300 W El Camino Real, Mountain View, CA 94040",2300 W El Camino Real,,2014-10,"In August 2014, an informal review application was submitted for the remodel and expansion of an existing hotel, to allow a four-story, 117 room hotel with a level of underground parking. The project site is located on the north side of El Camino Real between Ortega Avenue and South Rengstorff Avenue in the CRA (Commercial /Residential-Arterial) District. Status/Next Step(s): Under Review. Planning Area: El Camino Real Project Planner: Diana Pancholi",2023-2,"On September 14, 2022, the Zoning Administrator approved a two-year Permit Extension for a Provisional Use Permit to allow a hotel use and a parking reduction; a Planned Community Permit and Development Review Permit to allow a new 4-story, 153-room hotel with an expanded one-level underground parking garage, replacing an existing 71-room hot el, on a 0.97-acre project site. This property is located on the north side of El Camino Real between Ortega Avenue and South Rengstorff Avenue in the P-38 (El Camino Real) Precise Plan.",no permit,0,,,,
"2300 W El Camino Real, Ste IS, Mountain View, CA 94040","2300 W El Camino Real In August 2014, an informal review application was submitted for the remodel and expansion of an existing hotel, to allow a four-story, 117 room hotel with a level of underground parking. The project site is",,2015-2,located on the north side of El Camino Real between Ortega Avenue and South Rengstorff Avenue in the CRA (Commercial/Residential-Arterial) District. Status/Next Step(s): Under Review. Planning Area: El Camino Real Project Planner: Diana Pancholi,2015-2,located on the north side of El Camino Real between Ortega Avenue and South Rengstorff Avenue in the CRA (Commercial/Residential-Arterial) District. Status/Next Step(s): Under Review. Planning Area: El Camino Real Project Planner: Diana Pancholi,no permit,0,,,,
"231 Hope St, Mountain View, CA 94041","Hope Street Investors (231-235 Hope St.) In July 2014, an application was submitted for a 4-story, 9-unit condominium project replacing three apartment units on a 0.26 acre site located on the east side of Hope Street between Villa and Dana Street.",,2015-2,Status/Next Step(s): Under review. Planning Area: Central Neighborhoods Project Planner: Diana Pancholi,2023-2,"On December 10, 2019, City Council approved a Provisional Use Permit for a residential use; a Planned Community Permit and Development Review Permit for a 4-story, 9-unit condominium project replacing a vacant site; a Heritage Tree Removal Permit to remove two Heritage trees on a 0.26-acre project site; and a Tentative Map for 9 condominium lots and one common lot. The project is located on the east side of Hope Street between Villa and Dana Street in the P-19 (Downtown) Precise Plan.",5 or More Units Per Structure,0,,,,
"2310 Rock St, Mountain View, CA 94043",2310 Rock Street,,2018-7,"Request for a Planned Unit Development Permit, Development Review Permit, and Tentative Map for a new 55-unit rowhouse project, and a Heritage Tree Removal Permit to remove 40 Heritage Trees to replace 59 multi-family units on a 3.05 acre project site. The project is located on the north side of Rock Street, between Independence Avenue and North Rengstorff Avenue, in the R3-2.2 (M ultiple-Family Residential) district.",2022-10,"On April 2, 2019, City Council approved a Planned Unit Development Permit and a Development Review Permit for a new 55-unit rowhouse project and a Heritage Tree Removal Permit to remove 40 Heritage trees, replac ing 59 existing multi-family units, on a 3.05-acre project site. This project is located on the north side of Rock Street, between Independence Avenue and North Rengstorff Avenue in the R3-2.2 (Multiple-Family Residential) district.",no permit,0,,,,
"235 Hope St, Mountain View, CA 94041",235 Hope St.,Hope Street Investors ,2013-9,"In August 2013, Hope Street Investors applied for a 4-story, 7 unit condominium project on a 0.25 acre site. Final Council action is expected in fall 2014. (Central Neighborhoods Planning Area) ",2014-6,"In August 2013, Hope Street Investors informally applied for a 4-story, 7-unit condominium project on a 0.25 acre site. Status/Next Step(s): Informal application. The developer expects to submit a formal application by July 2014. Planning Area: Central Neighborhoods Project Planner: Nancy Minicucci",no permit,0,,,,
"2392 Rock St, Mountain View, CA 94043",2392 Rock St.,Paul Ryan ,2014-2,"In March 2013, Paul Ryan applied for permit s to construct a 3-unit small-lot single- family development on 0.38 acres. A final hearing is anticipated in 2014. ",2017-6,Planned Unit Dev elopment Permit and a Heritage Tree Removal P ermit for a 3-unit small-lot single-family development on a 0.38 acre project site. The project is located at the northeast corner of Rock Street and Independence Avenue in the R3-2.2 (Multiple-Family Residential) district.,no permit,0,,,,
"2400 Charleston Rd, Mountain View, CA 94043",2400 – 2700 Charleston Rd,,2022-8,"Request for a Conditional Use Permit to convert three existing vacant warehouse retail buildings into an research and development use; a Development Review Permit to add 6,013 square feet to existing mezzanine levels in two buildings as additional floor area, totaling 1 08,474 square feet on-site, and site and landscaping improvements on a 10.98 acre site with five existing retail buildings and surface parking. This project is located north of Charleston Road and between Industrial Avenue and US 101 freeway in the MM-40 (General Industrial) district.",2023-2,"Request for a Conditional Use Permit to convert three existing vacant warehouse retail buildings into an research and development office use; a Development Review Permit to add 6,013 square feet to existing mezzanine levels in two buildings as additional f loor area, totaling 108,474 square feet on- site, and site and landscaping improvements on a 10.98 acre site with five existing retail buildings and surface parking. This project is located north of Charleston Road and between Industrial Avenue and US 101 f reeway in the MM-40 (General Industrial) district.",no permit,0,,,,
"247 W El Camino Real, Mountain View, CA 94040",247-343 El  Camino Real West ,Dollinger Group,2013-5,"In October 2012, the Zoning A dministrator approved a 12,000 square foot dialysis center for Dollinger Properties. Construction has commenced and should be completed by August 2013. (Miramonte/Springer Planning Area) ",2013-7,"In October 2012, the Zoning A dministrator approved a 12,000 square foot dialysis center for Dollinger Properties. Construction has commenced and should be completed by August 2013. ",no permit,0,,,,
"2483 Whitney Dr, Mountain View, CA 94043",2483 Whitney Drive,,2019-6,Request for a Development Review Permit for a 64-unit residential development replacing an existing 40-unit apartment complex on a 1.44- acre site. This project is located on the south side of Whitney Drive between Mayfield Avenue and Diablo Avenue in the R3-1 and R3-1h1s (Multiple-Family Residential and One-Story Height Limitation) districts.,2019-10,"Request for a Planned Unit Development and Development Review Permit for a 64-unit residential development with 61 condominium units and 3 detached, small-lot, single- family homes, replacing an existing 40-unit apartment complex; a Heritage Tree Removal Permit to remove 9 Heritage trees; and a Tentative Map to create 64 condominium lots and one common lot on a 1.44-acre site. This project is located on the south side of Whitney Drive between Mayfield Avenue and Diablo Avenue in the R3-1 and R3-1h1s(Multiple- Family Reside ntial Height/Story Limitations) district",no permit,0,,,,
