JURISDICTION,COUNTY,YEAR,APN,STREET_ADDRESS,PROJECT_NAME,JURS_TRACKING_ID,REZONE_DT,VLOW_INCOME,LOW_INCOME,MOD_INCOME,ABOVE_MOD_INCOME,SHORTFALL_DESC,PARCEL_SIZE,GEN_PLAN_DESIGNATION,ZONING,MIN_DENSITY_ALLOWED,MAX_DENSITY_ALLOWED,REALISTIC_CAPACITY,PARCEL_VACANT_NONVACANT,PARCEL_DESC
MOUNTAIN VIEW,SANTA CLARA,2018,11610104,1010 JOAQUIN RD,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,5,10,21,171,No Net Loss,3.64,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,207,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11610108,1053 JOAQUIN RD,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,6,13,25,209,No Net Loss,4.44,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,253,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11610089,1824 SHORELINE BL,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,4,8,16,130,No Net Loss,2.77,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,158,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11610107,1489 CHARLESTON RD,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,1,3,5,44,No Net Loss,0.94,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,53,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11610086,1616 N SHORELINE BL,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,1,3,5,42,No Net Loss,0.89,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,51,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11610080,1742 SHORELINE BL,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,3,5,11,88,No Net Loss,1.86,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,107,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11610070,1600 N SHORELINE BL,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,1,2,4,35,No Net Loss,0.74,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,42,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11610003,1547 PLYMOUTH ST,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,1,1,2,21,No Net Loss,0.44,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,25,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11613030,1500 SHORELINE BL,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,22,45,90,742,No Net Loss,15.75,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,899,Nonvacant,Movie Theater
MOUNTAIN VIEW,SANTA CLARA,2018,11610004,1543 PLYMOUTH ST,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,1,1,2,20,No Net Loss,0.42,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,24,Nonvacant,SFR
MOUNTAIN VIEW,SANTA CLARA,2018,11610088,1431 PLYMOUTH ST,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,1,2,4,36,No Net Loss,0.76,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,43,Nonvacant,Bar
MOUNTAIN VIEW,SANTA CLARA,2018,11610101,1435 PLYMOUTH ST,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,1,3,6,47,No Net Loss,0.99,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,57,Nonvacant,Retail
MOUNTAIN VIEW,SANTA CLARA,2018,11613038,SHORELINE BL,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,1,2,4,34,No Net Loss,0.71,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,41,Vacant,
MOUNTAIN VIEW,SANTA CLARA,2018,11613034,1400 SHORELINE BL,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,9,18,37,302,No Net Loss,6.41,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,366,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11613037,SHORELINE BL,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,1,2,3,26,No Net Loss,0.55,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,32,Vacant,
MOUNTAIN VIEW,SANTA CLARA,2018,11611025,1390 SHOREBIRD WY,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,4,8,16,132,No Net Loss,1.8,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,160,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11611024,1380 SHOREBIRD WY,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,3,7,14,114,No Net Loss,1.56,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,138,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11611021,1397 SHOREBIRD WY,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,4,9,18,145,No Net Loss,1.99,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,176,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11611022,1383 SHOREBIRD WY,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,4,7,14,118,No Net Loss,1.62,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,143,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11611026,1395 CHARLESTON RD,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,9,19,37,307,No Net Loss,4.21,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,372,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11611030,1225 CHARLESTON RD,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,33,66,132,1092,No Net Loss,19.21,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,150 units/acre,1323,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11611028,1375 SHOREBIRD WY,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,8,17,34,278,No Net Loss,4.88,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,150 units/acre,337,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11611038,1345 SHOREBIRD WY,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,7,15,30,247,No Net Loss,16.47,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,80 units/acre,299,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11616053,1275 LA AVENIDA AV,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,18,36,72,595,No Net Loss,10.74,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,721,Nonvacant,Transit maintenance yard
MOUNTAIN VIEW,SANTA CLARA,2018,11614066,1675 SHORELINE BL,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,2,5,9,78,No Net Loss,1.41,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,94,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11614058,1601 N SHORELINE BL,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,3,6,13,106,No Net Loss,1.92,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,128,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11614062,1625 N SHORELINE BL,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,2,5,9,75,No Net Loss,1.35,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,91,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11616073,SHORELINE BL,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,15,30,60,492,No Net Loss,8.88,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,597,Nonvacant,Transit maintenance yard
MOUNTAIN VIEW,SANTA CLARA,2018,11614114,1350 PEAR AV,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,1,3,6,47,No Net Loss,0.84,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,57,Nonvacant,Office/Industrial
